suite,task_id,trial_id,success,executed_steps,waves,elapsed_seconds,mean_inference_wave_seconds,actions_finite,model_seed,environment_seed,max_steps,solver_release_policy,model_seed_rule,task_description,trajectory
libero_spatial,3,0,True,217,28,81.28584914910607,2.618841007624849,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_000.npz
libero_spatial,3,1,False,480,60,146.92880574206356,2.342901312872065,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_001.npz
libero_spatial,3,2,True,151,19,46.979968940024264,2.237594308156986,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_002.npz
libero_spatial,3,3,True,140,18,42.99008011200931,2.1014830668358817,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_003.npz
libero_spatial,3,4,True,142,18,49.34607246203814,2.4823505510453527,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_004.npz
libero_spatial,3,5,True,88,11,32.01800443301909,2.445110391747827,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_005.npz
libero_spatial,3,6,True,90,12,30.230688918032683,2.1744332604665453,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_006.npz
libero_spatial,3,7,True,99,13,33.22770856600255,2.245536784707968,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_007.npz
libero_spatial,3,8,True,134,17,46.26003280899022,2.3956425709895686,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_008.npz
libero_spatial,3,9,True,215,27,74.22958090994507,2.563721765439758,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_009.npz
libero_spatial,3,10,True,155,20,47.16617733996827,2.156629743093314,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_010.npz
libero_spatial,3,11,True,87,11,29.00910313904751,2.251903923567928,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_011.npz
libero_spatial,3,12,True,136,17,45.573594753979705,2.400508643664782,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_012.npz
libero_spatial,3,13,True,138,18,47.460318673052825,2.37945965662182,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_013.npz
libero_spatial,3,14,True,115,15,38.72943319706246,2.265211001125863,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_014.npz
libero_spatial,3,15,True,224,28,72.02329457097221,2.3848625902760903,True,0,0,480,uniform,fixed,pick up the black bowl on the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_none_cb08c9e_20260726/runs/formal_libero40_none_20_cb08c9e/shards/gpu3/tasks/libero_spatial/task_003/trajectories/trial_015.npz
