suite,task_id,status,trials,target_trials,successes,failures,success_rate,task_description,shard
libero_spatial,0,complete,20,20,19,1,0.95,pick up the black bowl between the plate and the ramekin and place it on the plate,gpu0
libero_spatial,1,complete,20,20,19,1,0.95,pick up the black bowl next to the ramekin and place it on the plate,gpu1
libero_spatial,2,complete,20,20,19,1,0.95,pick up the black bowl from table center and place it on the plate,gpu2
libero_spatial,3,complete,20,20,19,1,0.95,pick up the black bowl on the cookie box and place it on the plate,gpu3
libero_spatial,4,complete,20,20,10,10,0.5,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,gpu4
libero_spatial,5,complete,20,20,3,17,0.15,pick up the black bowl on the ramekin and place it on the plate,gpu5
libero_spatial,6,complete,20,20,20,0,1.0,pick up the black bowl next to the cookie box and place it on the plate,gpu6
libero_spatial,7,complete,20,20,19,1,0.95,pick up the black bowl on the stove and place it on the plate,gpu7
libero_spatial,8,complete,20,20,14,6,0.7,pick up the black bowl next to the plate and place it on the plate,gpu0
libero_spatial,9,complete,20,20,15,5,0.75,pick up the black bowl on the wooden cabinet and place it on the plate,gpu1
libero_object,0,complete,20,20,14,6,0.7,pick up the alphabet soup and place it in the basket,gpu2
libero_object,1,complete,20,20,18,2,0.9,pick up the cream cheese and place it in the basket,gpu3
libero_object,2,complete,20,20,15,5,0.75,pick up the salad dressing and place it in the basket,gpu4
libero_object,3,complete,20,20,16,4,0.8,pick up the bbq sauce and place it in the basket,gpu5
libero_object,4,complete,20,20,12,8,0.6,pick up the ketchup and place it in the basket,gpu6
libero_object,5,complete,20,20,20,0,1.0,pick up the tomato sauce and place it in the basket,gpu7
libero_object,6,complete,20,20,7,13,0.35,pick up the butter and place it in the basket,gpu0
libero_object,7,complete,20,20,9,11,0.45,pick up the milk and place it in the basket,gpu1
libero_object,8,complete,20,20,17,3,0.85,pick up the chocolate pudding and place it in the basket,gpu2
libero_object,9,complete,20,20,18,2,0.9,pick up the orange juice and place it in the basket,gpu3
libero_goal,0,complete,20,20,18,2,0.9,open the middle drawer of the cabinet,gpu4
libero_goal,1,complete,20,20,20,0,1.0,put the bowl on the stove,gpu5
libero_goal,2,complete,20,20,8,12,0.4,put the wine bottle on top of the cabinet,gpu6
libero_goal,3,complete,20,20,9,11,0.45,open the top drawer and put the bowl inside,gpu7
libero_goal,4,complete,20,20,14,6,0.7,put the bowl on top of the cabinet,gpu0
libero_goal,5,complete,20,20,13,7,0.65,push the plate to the front of the stove,gpu1
libero_goal,6,complete,20,20,14,6,0.7,put the cream cheese in the bowl,gpu2
libero_goal,7,complete,20,20,20,0,1.0,turn on the stove,gpu3
libero_goal,8,complete,20,20,20,0,1.0,put the bowl on the plate,gpu4
libero_goal,9,complete,20,20,1,19,0.05,put the wine bottle on the rack,gpu5
libero_10,0,complete,20,20,13,7,0.65,put both the alphabet soup and the tomato sauce in the basket,gpu6
libero_10,1,complete,20,20,9,11,0.45,put both the cream cheese box and the butter in the basket,gpu7
libero_10,2,complete,20,20,13,7,0.65,turn on the stove and put the moka pot on it,gpu0
libero_10,3,complete,20,20,14,6,0.7,put the black bowl in the bottom drawer of the cabinet and close it,gpu1
libero_10,4,complete,20,20,16,4,0.8,put the white mug on the left plate and put the yellow and white mug on the right plate,gpu2
libero_10,5,complete,20,20,17,3,0.85,pick up the book and place it in the back compartment of the caddy,gpu3
libero_10,6,complete,20,20,14,6,0.7,put the white mug on the plate and put the chocolate pudding to the right of the plate,gpu4
libero_10,7,complete,20,20,8,12,0.4,put both the alphabet soup and the cream cheese box in the basket,gpu5
libero_10,8,complete,20,20,10,10,0.5,put both moka pots on the stove,gpu6
libero_10,9,complete,20,20,7,13,0.35,put the yellow and white mug in the microwave and close it,gpu7
