suite,task_id,successes,trials,failures,success_rate,success_rate_percent,task_description,shard
libero_spatial,0,19,20,1,0.950000,95.00,pick up the black bowl between the plate and the ramekin and place it on the plate,gpu0
libero_spatial,1,19,20,1,0.950000,95.00,pick up the black bowl next to the ramekin and place it on the plate,gpu1
libero_spatial,2,19,20,1,0.950000,95.00,pick up the black bowl from table center and place it on the plate,gpu2
libero_spatial,3,19,20,1,0.950000,95.00,pick up the black bowl on the cookie box and place it on the plate,gpu3
libero_spatial,4,10,20,10,0.500000,50.00,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,gpu4
libero_spatial,5,3,20,17,0.150000,15.00,pick up the black bowl on the ramekin and place it on the plate,gpu5
libero_spatial,6,20,20,0,1.000000,100.00,pick up the black bowl next to the cookie box and place it on the plate,gpu6
libero_spatial,7,19,20,1,0.950000,95.00,pick up the black bowl on the stove and place it on the plate,gpu7
libero_spatial,8,14,20,6,0.700000,70.00,pick up the black bowl next to the plate and place it on the plate,gpu0
libero_spatial,9,15,20,5,0.750000,75.00,pick up the black bowl on the wooden cabinet and place it on the plate,gpu1
libero_object,0,14,20,6,0.700000,70.00,pick up the alphabet soup and place it in the basket,gpu2
libero_object,1,18,20,2,0.900000,90.00,pick up the cream cheese and place it in the basket,gpu3
libero_object,2,15,20,5,0.750000,75.00,pick up the salad dressing and place it in the basket,gpu4
libero_object,3,16,20,4,0.800000,80.00,pick up the bbq sauce and place it in the basket,gpu5
libero_object,4,12,20,8,0.600000,60.00,pick up the ketchup and place it in the basket,gpu6
libero_object,5,20,20,0,1.000000,100.00,pick up the tomato sauce and place it in the basket,gpu7
libero_object,6,7,20,13,0.350000,35.00,pick up the butter and place it in the basket,gpu0
libero_object,7,9,20,11,0.450000,45.00,pick up the milk and place it in the basket,gpu1
libero_object,8,17,20,3,0.850000,85.00,pick up the chocolate pudding and place it in the basket,gpu2
libero_object,9,18,20,2,0.900000,90.00,pick up the orange juice and place it in the basket,gpu3
libero_goal,0,18,20,2,0.900000,90.00,open the middle drawer of the cabinet,gpu4
libero_goal,1,20,20,0,1.000000,100.00,put the bowl on the stove,gpu5
libero_goal,2,8,20,12,0.400000,40.00,put the wine bottle on top of the cabinet,gpu6
libero_goal,3,9,20,11,0.450000,45.00,open the top drawer and put the bowl inside,gpu7
libero_goal,4,14,20,6,0.700000,70.00,put the bowl on top of the cabinet,gpu0
libero_goal,5,13,20,7,0.650000,65.00,push the plate to the front of the stove,gpu1
libero_goal,6,14,20,6,0.700000,70.00,put the cream cheese in the bowl,gpu2
libero_goal,7,20,20,0,1.000000,100.00,turn on the stove,gpu3
libero_goal,8,20,20,0,1.000000,100.00,put the bowl on the plate,gpu4
libero_goal,9,1,20,19,0.050000,5.00,put the wine bottle on the rack,gpu5
libero_10,0,13,20,7,0.650000,65.00,put both the alphabet soup and the tomato sauce in the basket,gpu6
libero_10,1,9,20,11,0.450000,45.00,put both the cream cheese box and the butter in the basket,gpu7
libero_10,2,13,20,7,0.650000,65.00,turn on the stove and put the moka pot on it,gpu0
libero_10,3,14,20,6,0.700000,70.00,put the black bowl in the bottom drawer of the cabinet and close it,gpu1
libero_10,4,16,20,4,0.800000,80.00,put the white mug on the left plate and put the yellow and white mug on the right plate,gpu2
libero_10,5,17,20,3,0.850000,85.00,pick up the book and place it in the back compartment of the caddy,gpu3
libero_10,6,14,20,6,0.700000,70.00,put the white mug on the plate and put the chocolate pudding to the right of the plate,gpu4
libero_10,7,8,20,12,0.400000,40.00,put both the alphabet soup and the cream cheese box in the basket,gpu5
libero_10,8,10,20,10,0.500000,50.00,put both moka pots on the stove,gpu6
libero_10,9,7,20,13,0.350000,35.00,put the yellow and white mug in the microwave and close it,gpu7
