suite,task_id,trial_id,success,executed_steps,waves,elapsed_seconds,mean_inference_wave_seconds,actions_finite,model_seed,environment_seed,max_steps,solver_release_policy,model_seed_rule,task_description,trajectory
libero_spatial,6,0,True,110,14,77.49389013403561,4.951179480397453,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_000.npz
libero_spatial,6,1,True,107,14,63.46266490302514,4.106316890458887,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_001.npz
libero_spatial,6,2,True,107,14,62.462449677987024,4.03277747045892,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_002.npz
libero_spatial,6,3,True,108,14,62.429133155965246,4.035282372923878,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_003.npz
libero_spatial,6,4,True,113,15,65.39648031396791,3.9696631631304626,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_004.npz
libero_spatial,6,5,True,153,20,86.11824290303048,3.9958806061962,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_005.npz
libero_spatial,6,6,True,114,15,65.70406189607456,3.973799790692283,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_006.npz
libero_spatial,6,7,True,108,14,63.23980232491158,4.091020374194098,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_007.npz
libero_spatial,6,8,True,118,15,68.02718533296138,4.137364122638246,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_008.npz
libero_spatial,6,9,True,111,14,64.09369576093741,4.154466068271237,True,0,0,480,uniform,fixed,pick up the black bowl next to the cookie box and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu6/tasks/libero_spatial/task_006/trajectories/trial_009.npz
