suite,task_id,trial_id,success,executed_steps,waves,elapsed_seconds,mean_inference_wave_seconds,actions_finite,model_seed,environment_seed,max_steps,solver_release_policy,model_seed_rule,task_description,trajectory
libero_spatial,1,0,False,480,60,280.115136508015,4.563731502328396,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_001/trajectories/trial_000.npz
libero_spatial,1,1,True,175,22,105.35308110999176,4.511966133086547,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_001/trajectories/trial_001.npz
libero_spatial,1,2,True,393,50,229.08469735801918,4.452255878568965,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_001/trajectories/trial_002.npz
libero_spatial,1,3,True,169,22,100.75839344901033,4.320362427910921,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_001/trajectories/trial_003.npz
libero_spatial,1,4,True,136,17,81.2273763550038,4.4355042645006,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_001/trajectories/trial_004.npz
libero_spatial,1,5,True,148,19,89.7363368999795,4.417104077099066,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_001/trajectories/trial_005.npz
libero_spatial,1,6,True,193,25,112.85980266501429,4.2782647193469945,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_001/trajectories/trial_006.npz
libero_spatial,1,7,True,264,33,154.55345489399042,4.5020428602951785,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_001/trajectories/trial_007.npz
libero_spatial,1,8,True,181,23,107.48776457898202,4.4179957642481895,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_001/trajectories/trial_008.npz
libero_spatial,1,9,True,349,44,203.02531271599582,4.480315415398865,True,0,0,480,uniform,fixed,pick up the black bowl next to the ramekin and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_001/trajectories/trial_009.npz
libero_spatial,9,0,True,177,23,106.28484939501504,4.373842651918191,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_009/trajectories/trial_000.npz
libero_spatial,9,1,True,171,22,102.38496525399387,4.389311482302298,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_009/trajectories/trial_001.npz
libero_spatial,9,2,True,364,46,211.46907904802356,4.463741033167722,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_009/trajectories/trial_002.npz
libero_spatial,9,3,False,480,60,279.37270256099873,4.548024422211427,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_009/trajectories/trial_003.npz
libero_spatial,9,4,True,383,48,209.50136577899684,4.240301774057431,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_spatial/task_009/trajectories/trial_004.npz
libero_spatial,9,5,True,298,38,174.71426622397848,4.438971176358441,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_009/trajectories/trial_005.npz
libero_spatial,9,6,False,480,60,277.93247245499515,4.525449986571969,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_009/trajectories/trial_006.npz
libero_spatial,9,7,True,252,32,148.3882371709915,4.450397898782588,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_009/trajectories/trial_007.npz
libero_spatial,9,8,True,135,17,81.4198170019954,4.455632040721765,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_009/trajectories/trial_008.npz
libero_spatial,9,9,True,185,24,109.00043063101475,4.300509505203227,True,0,0,480,uniform,fixed,pick up the black bowl on the wooden cabinet and place it on the plate,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_spatial/task_009/trajectories/trial_009.npz
libero_object,0,0,False,480,60,279.2113326549879,4.5524346857693345,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_000/trajectories/trial_000.npz
libero_object,0,1,True,215,27,125.97371418200783,4.459468373785577,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_000/trajectories/trial_001.npz
libero_object,0,2,True,164,21,97.43223257898353,4.372633994596651,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_000/trajectories/trial_002.npz
libero_object,0,3,False,480,60,277.87298477700097,4.5276337981765105,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_000/trajectories/trial_003.npz
libero_object,0,4,True,246,31,130.69539725300274,4.042213299248942,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_000/trajectories/trial_004.npz
libero_object,0,5,True,277,35,162.98193209100282,4.487337902027422,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_000/trajectories/trial_005.npz
libero_object,0,6,True,237,30,138.9010941629822,4.432971617774926,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_000/trajectories/trial_006.npz
libero_object,0,7,True,248,31,143.8198922399897,4.452980318655136,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_000/trajectories/trial_007.npz
libero_object,0,8,True,165,21,98.42010481399484,4.415949043320407,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_000/trajectories/trial_008.npz
libero_object,0,9,True,238,30,138.86710858898005,4.4370036085179425,True,0,0,480,uniform,fixed,pick up the alphabet soup and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_000/trajectories/trial_009.npz
libero_object,6,0,False,480,60,154.44360564902308,2.5065300132297783,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_006/trajectories/trial_000.npz
libero_object,6,1,False,480,60,99.84898857600638,1.6219916970332604,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_006/trajectories/trial_001.npz
libero_object,6,2,True,216,27,45.65846125400276,1.6057636129251998,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_006/trajectories/trial_002.npz
libero_object,6,3,True,270,34,56.7650423279847,1.600631520742484,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_006/trajectories/trial_003.npz
libero_object,6,4,True,221,28,47.00476512798923,1.5968142163805294,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_screen4/tasks/libero_object/task_006/trajectories/trial_004.npz
libero_object,6,5,True,215,27,125.89072662699618,4.44732197814093,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_006/trajectories/trial_005.npz
libero_object,6,6,False,480,60,279.3244480009889,4.550627032968552,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_006/trajectories/trial_006.npz
libero_object,6,7,True,218,28,127.01536130200839,4.336200788755628,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_006/trajectories/trial_007.npz
libero_object,6,8,True,224,28,131.51826796101523,4.485706523997139,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_006/trajectories/trial_008.npz
libero_object,6,9,True,211,27,125.12912619000417,4.416458079605945,True,0,0,480,uniform,fixed,pick up the butter and place it in the basket,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_object/task_006/trajectories/trial_009.npz
libero_goal,0,0,True,128,16,76.95899721700698,4.447819349647034,True,0,0,480,uniform,fixed,open the middle drawer of the cabinet,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_goal/task_000/trajectories/trial_000.npz
libero_goal,0,1,True,120,15,71.57353356998647,4.403803745064579,True,0,0,480,uniform,fixed,open the middle drawer of the cabinet,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_goal/task_000/trajectories/trial_001.npz
libero_goal,0,2,False,480,60,278.05875358200865,4.53003514917867,True,0,0,480,uniform,fixed,open the middle drawer of the cabinet,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_goal/task_000/trajectories/trial_002.npz
libero_goal,0,3,True,139,18,82.30380704201525,4.26541446621444,True,0,0,480,uniform,fixed,open the middle drawer of the cabinet,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_goal/task_000/trajectories/trial_003.npz
libero_goal,0,4,True,120,15,71.62089377999655,4.403219874246133,True,0,0,480,uniform,fixed,open the middle drawer of the cabinet,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_goal/task_000/trajectories/trial_004.npz
libero_goal,0,5,True,143,18,84.54236043800483,4.384150815211653,True,0,0,480,uniform,fixed,open the middle drawer of the cabinet,/home/oem/fbfm_ws/FBFM-a6000/results/kp_search_pro6000/kp_0p0749894_expand10x10/tasks/libero_goal/task_000/trajectories/trial_005.npz
